city,state_abbrev,city_pop
Shoreline,WA,66251
Union City,CA,66196
Victoria,TX,66020
Palatine village,IL,65951
Skokie village,IL,65850
Waltham,MA,65849
Kyle,TX,65833
Lorain,OH,65751
Cheyenne,WY,65704
Parker,CO,65473
Muncie,IN,65320
Burnsville,MN,64864
Bellevue,NE,64777
South San Francisco,CA,64660
Kenner,LA,64650
North Little Rock,AR,64498
Richland,WA,64372
Millcreek,UT,64217
Laguna Niguel,CA,64185
Madison,AL,64029
Chapel Hill,NC,64028
Hamilton,OH,63953
Hendersonville,TN,63947
Moore,OK,63845
Coon Rapids,MN,63807
Utica,NY,63660
Lynwood,CA,63596
Porterville,CA,63517
Palm Beach Gardens,FL,63284
Wellington village,FL,63258
Bossier City,LA,63218
Marietta,GA,63122
Westfield,IN,62994
Jupiter,FL,62987
Woodland,CA,62983
Wylie,TX,62954
Eden Prairie,MN,62905
Apopka,FL,62777
Lakewood,WA,62709
Council Bluffs,IA,62665
San Clemente,CA,62627
Santa Cruz,CA,62581
White Plains,NY,62561
Pontiac,MI,62528
Marana,AZ,62380
Herriman,UT,62352
North Miami,FL,62202
Bristol,CT,62195
Vineland,NJ,62070
Corvallis,OR,61993
Taunton,MA,61936
Bentonville,AR,61791
Taylor,MI,61544
St. Peters,MO,61398
La Habra,CA,61391
Burlington,NC,61365
Blue Springs,MO,61246
Little Elm,TX,61219
Springfield,OR,61182
Encinitas,CA,61137
Dearborn Heights,MI,61040
Stonecrest,GA,61015
Meriden,CT,60849
La Mesa,CA,60767
Revere,MA,60702
Owensboro,KY,60675
Margate,FL,60650
Montebello,CA,60617
Hanford,CA,60594
Eagle Mountain,UT,60575
Kannapolis,NC,60521
Gilroy,CA,60390
Smyrna,TN,60302
Weymouth Town,MA,60159
Kokomo,IN,60093
Great Falls,MT,60013
Euless,TX,60010
Winter Haven,FL,59975
San Rafael,CA,59961
Medford,MA,59898
Grand Forks,ND,59845
West Allis,WI,59784
Coconut Creek,FL,59721
Hempstead village,NY,59569
Beaumont,CA,59502
Lenexa,KS,59427
Spring Hill,TN,59398
Petaluma,CA,59393
Brookhaven,GA,59370
Pico Rivera,CA,59363
Hoboken,NJ,59149
Youngstown,OH,59123
Santee,CA,59104
Lake Havasu City,AZ,59037
Dubuque,IA,58987
Gardena,CA,58921
Des Plaines,IL,58832
Casper,WY,58823
Cupertino,CA,58710
Lacey,WA,58644
Terre Haute,IN,58531
Midwest City,OK,58505
National City,CA,58460
Lancaster,PA,58441
Bowie,MD,58421
Royal Oak,MI,58251
Pocatello,ID,58231
Bradenton,FL,58184
Carson City,NV,58148
Springfield,OH,58138
St. Clair Shores,MI,58077
Orland Park village,IL,58020
Monterey Park,CA,57996
Decatur,AL,57974
Bozeman,MT,57894
Texas City,TX,57875
Taylorsville,UT,57819
Sarasota,FL,57764
Southaven,MS,57493
New Brunswick,NJ,57487
Saratoga Springs,UT,57411
Coeur d'Alene,ID,57355
Tigard,OR,57301
Smyrna,GA,57177
Albany,OR,57156
Bonita Springs,FL,57112
Kingsport,TN,57109
Kettering,OH,57028
Perth Amboy,NJ,56939
Logan,UT,56770
Wake Forest,NC,56764
DeSoto,TX,56711
Bartlett,TN,56708
Oak Lawn village,IL,56531
Plainfield,NJ,56507
Highland,CA,56499
Olympia,WA,56271
Lincoln,CA,56268
Burleson,TX,56253
Fountain Valley,CA,56036
West Sacramento,CA,55991
Anderson,IN,55851
Port Arthur,TX,55799
Valdosta,GA,55667
Twin Falls,ID,55589
San Jacinto,CA,55515
Mount Prospect village,IL,55460
Peabody,MA,55418
Chicopee,MA,55381
West Haven,CT,55379
Apple Valley,MN,55272
Berwyn,IL,55152
Tinley Park village,IL,54856
Kentwood,MI,54768
Manhattan,KS,54700
Fulshear,TX,54629
Rocky Mount,NC,54541
Arcadia,CA,54472
Yucaipa,CA,54465
Methuen,MA,54272
Pensacola,FL,53898
Wheaton,IL,53741
Elkhart,IN,53690
Joplin,MO,53605
Elyria,OH,53604
Edina,MN,53564
Rockwall,TX,53547
Galveston,TX,53538
Colton,CA,53528
Pinellas Park,FL,53503
Placentia,CA,53395
Normal,IL,53304
Grand Island,NE,53250
Delano,CA,53198
Palm Desert,CA,53147
West New York,NJ,52975
Oak Park village,IL,52947
Jeffersonville,IN,52912
Mooresville,NC,52884
Minnetonka,MN,52651
Summerville,SC,52625
Cathedral City,CA,52517
Gallatin,TN,52489
Novato,CA,52311
Diamond Bar,CA,52292
Middletown,OH,52291
Battle Creek,MI,52205
Huntington Park,CA,52166
Burien,WA,52046
Columbus,IN,51970
Collierville,TN,51951
Everett,MA,51825
Dunwoody,GA,51795
Bothell,WA,51770
Celina,TX,51661
Lebanon,TN,51501
Prescott Valley,AZ,51440
Newark,OH,51424
Watsonville,CA,51320
Grapevine,TX,51320
Florissant,MO,51290
Ocoee,FL,51269
Paramount,CA,51169
Harrisonburg,VA,51164
Troy,NY,51065
La Crosse,WI,51049
Mishawaka,IN,51020
Milford,CT,51004
Cuyahoga Falls,OH,50979
Hoffman Estates village,IL,50920
Clermont,FL,50851
Murray,UT,50817
Fort Pierce,FL,50805
Harrisburg,PA,50649
Downers Grove village,IL,50552
Enid,OK,50519
Aliso Viejo,CA,50457
Coral Gables,FL,50379
Goose Creek,SC,50352
Cleveland,TN,50232
Sherman,TX,50229
Draper,UT,50166
Stillwater,OK,50138
Glendora,CA,50101
Portage,MI,49975
St. Louis Park,MN,49899
Titusville,FL,49883
Barnstable Town,MA,49831
Leesburg,VA,49831
Lawrence,IN,49817
San Luis Obispo,CA,49729
Sheboygan,WI,49624
Cedar Hill,TX,49618
Rosemead,CA,49582
Lakewood,OH,49517
Huntsville,TX,49500
Chesterfield,MO,49465
Dublin,OH,49456
Poway,CA,49435
Cypress,CA,49286
Ceres,CA,49253
Covina,CA,49245
East Lansing,MI,48964
Plainfield village,IL,48881
Oro Valley,AZ,48855
Columbia,TN,48812
Wauwatosa,WI,48794
Winter Garden,FL,48771
Bedford,TX,48728
Los Banos,CA,48684
Holly Springs,NC,48674
Wentzville,MO,48646
Waxahachie,TX,48617
